run,pipes,stages,samples,max_copy,scheduler,buffer,time
2,6,11,200000000,512,flow,slab,3.519928998
2,6,11,200000000,512,smol1,circ,27.954087747
2,6,11,200000000,512,smol1,slab,14.664047867
2,6,11,200000000,512,smoln,circ,12.712694925
2,6,11,200000000,512,smoln,slab,7.728730163
2,6,1,200000000,512,flow,circ,1.7920177769999999
2,6,1,200000000,512,flow,slab,0.349477166
2,6,1,200000000,512,smol1,circ,6.482411506
2,6,1,200000000,512,smol1,slab,1.370037252
2,6,1,200000000,512,smoln,circ,3.341425482
2,6,1,200000000,512,smoln,slab,0.992418892
2,6,13,200000000,512,flow,circ,8.27458898
2,6,13,200000000,512,flow,slab,4.309355357
2,6,13,200000000,512,smol1,circ,31.938166135
2,6,13,200000000,512,smol1,slab,18.479937156
2,6,13,200000000,512,smoln,circ,14.749914834
2,6,13,200000000,512,smoln,slab,8.9108368
2,6,15,200000000,512,flow,circ,9.274989235
2,6,15,200000000,512,flow,slab,5.368148046
2,6,15,200000000,512,smol1,circ,36.520117129
2,6,15,200000000,512,smol1,slab,21.415034937
2,6,15,200000000,512,smoln,circ,16.28369685
2,6,15,200000000,512,smoln,slab,10.361515105
2,6,17,200000000,512,flow,circ,10.496476329
2,6,17,200000000,512,flow,slab,6.94871262
2,6,17,200000000,512,smol1,circ,41.092245829
2,6,17,200000000,512,smol1,slab,25.474816888
2,6,17,200000000,512,smoln,circ,18.000994069
2,6,17,200000000,512,smoln,slab,11.882222112000001
2,6,19,200000000,512,flow,circ,11.570099775
2,6,19,200000000,512,flow,slab,8.430528123
2,6,19,200000000,512,smol1,circ,45.516800897
2,6,19,200000000,512,smol1,slab,29.190868548
2,6,19,200000000,512,smoln,circ,20.127816337
2,6,19,200000000,512,smoln,slab,13.243718807
2,6,21,200000000,512,flow,circ,12.895521412
2,6,21,200000000,512,flow,slab,10.084451552
2,6,21,200000000,512,smol1,circ,50.113232302
2,6,21,200000000,512,smol1,slab,32.366699862
2,6,21,200000000,512,smoln,circ,22.01994734
2,6,21,200000000,512,smoln,slab,14.584814273
2,6,23,200000000,512,flow,circ,14.511396275
2,6,23,200000000,512,flow,slab,11.855764602
2,6,23,200000000,512,smol1,circ,54.790094991
2,6,23,200000000,512,smol1,slab,36.25563888
2,6,23,200000000,512,smoln,circ,24.268859028
2,6,23,200000000,512,smoln,slab,16.198290358
2,6,3,200000000,512,flow,circ,2.97977519
2,6,3,200000000,512,flow,slab,0.893714483
2,6,3,200000000,512,smol1,circ,10.635205401
2,6,3,200000000,512,smol1,slab,3.466949599
2,6,3,200000000,512,smoln,circ,5.258145766
2,6,3,200000000,512,smoln,slab,2.3950769259999998
2,6,5,200000000,512,flow,circ,3.862411849
2,6,5,200000000,512,flow,slab,1.42511618
2,6,5,200000000,512,smol1,circ,14.722415075
2,6,5,200000000,512,smol1,slab,5.834414994
2,6,5,200000000,512,smoln,circ,7.140585483
